iter	Passed	Remaining
687	15058	6828
688	15078	6806
689	15099	6783
690	15119	6760
691	15139	6738
692	15160	6715
693	15180	6693
694	15204	6672
695	15225	6650
696	15245	6627
697	15265	6604
698	15286	6582
699	15309	6561
700	15330	6539
701	15352	6517
702	15371	6494
703	15391	6471
704	15411	6448
705	15432	6426
706	15452	6403
707	15472	6381
708	15492	6358
709	15512	6336
710	15532	6313
711	15552	6290
712	15572	6268
713	15593	6246
714	15614	6223
715	15635	6201
716	15656	6179
717	15676	6157
718	15696	6134
719	15716	6111
720	15736	6089
721	15756	6066
722	15776	6044
723	15796	6021
724	15816	5999
725	15835	5976
726	15856	5954
727	15876	5931
728	15895	5909
729	15916	5886
730	15935	5864
731	15956	5841
732	15976	5819
733	15995	5796
734	16015	5774
735	16035	5751
736	16055	5729
737	16075	5707
738	16095	5684
739	16115	5662
740	16135	5639
741	16155	5617
742	16175	5594
743	16195	5572
744	16215	5550
745	16234	5527
746	16254	5505
747	16274	5482
748	16294	5460
749	16314	5438
750	16334	5415
751	16354	5393
752	16374	5371
753	16395	5349
754	16416	5327
755	16439	5305
756	16459	5283
757	16479	5261
758	16499	5239
759	16520	5217
760	16541	5195
761	16563	5173
762	16601	5156
763	16624	5135
764	16646	5113
765	16668	5092
766	16698	5072
767	16719	5050
768	16740	5028
769	16760	5006
770	16781	4984
771	16802	4962
772	16823	4940
773	16843	4918
774	16866	4896
775	16887	4874
776	16911	4853
777	16933	4831
778	16953	4809
779	16980	4789
780	17005	4768
781	17031	4748
782	17063	4728
783	17095	4710
784	17122	4689
785	17150	4669
786	17180	4649
787	17210	4630
788	17241	4610
789	17263	4589
790	17285	4567
791	17308	4545
792	17329	4523
793	17351	4501
794	17372	4479
795	17394	4457
796	17416	4436
797	17439	4414
798	17462	4392
799	17487	4371
800	17515	4351
801	17536	4329
802	17558	4307
803	17579	4285
804	17600	4263
805	17622	4241
806	17643	4219
807	17664	4197
808	17684	4175
809	17705	4153
810	17725	4130
811	17745	4108
812	17765	4086
813	17785	4064
814	17805	4041
815	17825	4019
816	17845	3997
817	17864	3974
818	17884	3952
819	17903	3930
820	17924	3907
821	17944	3885
822	17968	3864
823	18011	3847
824	18056	3830
825	18100	3812
826	18142	3795
827	18163	3773
828	18186	3751
829	18206	3729
830	18227	3706
831	18247	3684
832	18267	3662
833	18287	3640
834	18307	3617
835	18327	3595
836	18349	3573
837	18369	3551
838	18390	3528
839	18409	3506
840	18429	3484
841	18448	3461
842	18468	3439
843	18488	3417
844	18507	3394
845	18527	3372
846	18547	3350
847	18566	3327
848	18586	3305
849	18606	3283
850	18626	3261
851	18646	3238
852	18666	3216
853	18686	3194
854	18706	3172
